,date,qty,1kg price,temp,temp_sc,qty_sc
345,2007.03.15,3503.0,4983.53,10.22,-1.1989268516818137,-0.16814133612780935
346,2007.03.16,5844.7,4898.97,10.36,-1.1720251912862123,0.2811322616429205
347,2007.03.17,7437.5,5561.06,10.39,-1.1662605497728693,0.5867234930257701
348,2007.03.18,,,,,
349,2007.03.19,9457.9,5224.75,10.63,-1.1201434176661236,0.9743531539285256
350,2007.03.20,5758.8,4733.08,10.52,-1.1412804365483822,0.26465166974451104
351,2007.03.21,3705.6,4962.33,10.87,-1.0740262855593783,-0.12927092962469205
352,2007.03.22,4251.5,4773.41,11.4,-0.9721842854903152,-0.024535712891958748
353,2007.03.23,5416.9,4167.48,11.36,-0.9798704741747732,0.19905546054699946
354,2007.03.24,6814.9,4469.56,11.49,-0.954890360950286,0.4672727768913136
355,2007.03.25,,,,,
356,2007.03.26,7724.7,4256.79,11.57,-0.9395179835813708,0.6418250761832
357,2007.03.27,3139.6,3857.38,11.69,-0.916459417527998,-0.23786248974692506
358,2007.03.28,5884.8,3780.91,11.88,-0.8799500212768244,0.28882576263391274
359,2007.03.29,5326.5,3538.01,12.05,-0.8472837193678797,0.18171150818825416
360,2007.03.30,3843.5,3906.63,12.39,-0.7819511155499903,-0.10281372796240236
361,2007.03.31,6607.2,3271.42,12.43,-0.7742649268655329,0.4274238951998158
362,2007.04.01,,,,,
363,2007.04.02,6329.1,3781.8,12.26,-0.8069312287744776,0.37406821875106494
364,2007.04.03,3131.9,4188.05,12.05,-0.8472837193678797,-0.2393397954234996
365,2007.04.04,3566.1,5387.23,11.9,-0.8761069269345957,-0.15603510389510106
366,2007.04.05,4079.1,5002.31,12.14,-0.8299897948278502,-0.057612011416822685
367,2007.04.06,5140.8,4674.89,12.36,-0.7877157570633337,0.1460834998583979
368,2007.04.07,4021.2,4266.7,12.45,-0.7704218325233042,-0.068720582673143
369,2007.04.08,,,,,
370,2007.04.09,4543.5,4751.21,12.75,-0.7127754173898723,0.031486788089829326
371,2007.04.10,4010.4,4646.59,12.85,-0.6935599456787285,-0.07079264777794883
372,2007.04.11,3857.4,4499.77,12.99,-0.6666582852831268,-0.10014690342936516
373,2007.04.12,3432.9,4533.26,13.34,-0.5994041342941231,-0.18159057352104
