,어종,산지,평균가,최종수량,year,month,day,date,1kg price
174,(선)깐굴,남해,5500,10.0,2006,4,15,2006.04,2200.0
175,(선)깐굴,삼천포,10600,230.0,2006,4,15,2006.04,5300.0
176,(선)깐굴,통영,4500,80.0,2006,4,15,2006.04,2812.5
177,(선)깐굴,남해,8000,78.2,2006,4,15,2006.04,4705.88
178,(선)깐굴,통영,8900,50.4,2006,4,15,2006.04,4944.44
179,(선)깐굴,통영,11500,230.0,2006,4,15,2006.04,5000.0
180,(선)깐굴,삼천포,10900,184.3,2006,4,15,2006.04,5736.84
181,(선)깐굴,통영,4800,252.0,2006,4,15,2006.04,2400.0
182,(선)깐굴,삼천포,15000,16.799999999999994,2006,4,17,2006.04,5357.14
183,(선)깐굴,통영,9800,561.6,2006,4,17,2006.04,4083.33
184,(선)깐굴,삼천포,7800,266.40000000000003,2006,4,17,2006.04,4333.33
185,(선)깐굴,남해,8000,112.1,2006,4,17,2006.04,4210.53
186,(선)깐굴,삼천포,8200,190.4,2006,4,17,2006.04,4823.53
187,(선)깐굴,통영,4500,78.0,2006,4,17,2006.04,3461.54
188,(선)깐굴,통영,4600,187.00000000000003,2006,4,17,2006.04,4181.82
189,(선)깐굴,통영,8300,380.8,2006,4,17,2006.04,4882.35
190,(선)깐굴,남해,8500,184.0,2006,4,17,2006.04,4250.0
191,(선)깐굴,통영,6000,576.0,2006,4,17,2006.04,5000.0
192,(선)깐굴,통영,7000,282.0,2006,4,17,2006.04,4666.67
193,(선)깐굴,삼천포,10800,130.0,2006,4,17,2006.04,5400.0
194,(선)깐굴,통영,6700,414.4,2006,4,17,2006.04,4187.5
195,(선)깐굴,통영,11700,335.4000000000001,2006,4,17,2006.04,4500.0
196,(선)깐굴,남해,7700,88.39999999999998,2006,4,17,2006.04,4529.41
197,(선)깐굴,남해,9000,85.10000000000002,2006,4,17,2006.04,2432.43
198,(선)깐굴,통영,9000,133.39999999999998,2006,4,17,2006.04,3913.04
199,(선)깐굴,통영,9800,827.2,2006,4,17,2006.04,4454.55
200,(선)깐굴,삼천포,7300,125.4,2006,4,17,2006.04,3842.11
201,(선)깐굴,통영,12000,157.5,2006,4,17,2006.04,4800.0
202,(선)깐굴,남해,5500,30.0,2006,4,17,2006.04,1833.33
203,(선)깐굴,통영,8200,44.0,2006,4,18,2006.04,4100.0
204,(선)깐굴,통영,8700,176.4,2006,4,18,2006.04,4142.86
205,(선)깐굴,통영,12700,189.6,2006,4,18,2006.04,5291.67
206,(선)깐굴,삼천포,7400,199.8,2006,4,18,2006.04,4111.11
207,(선)깐굴,통영,6800,273.0,2006,4,18,2006.04,4857.14
208,(선)깐굴,통영,5300,65.0,2006,4,18,2006.04,4076.92
209,(선)깐굴,통영,8500,183.6,2006,4,18,2006.04,5000.0
210,(선)깐굴,남해,8500,120.0,2006,4,18,2006.04,4250.0
211,(선)깐굴,통영,7200,300.0,2006,4,18,2006.04,6000.0
212,(선)깐굴,통영,8500,9.0,2006,4,18,2006.04,5666.67
213,(선)깐굴,삼천포,9000,186.0,2006,4,18,2006.04,4500.0
214,(선)깐굴,통영,9800,108.8,2006,4,18,2006.04,6125.0
215,(선)깐굴,남해,10000,98.8,2006,4,18,2006.04,2631.58
216,(선)깐굴,통영,9900,215.6,2006,4,18,2006.04,4500.0
217,(선)깐굴,삼천포,8500,123.5,2006,4,18,2006.04,4473.68
218,(선)깐굴,통영,13300,440.0,2006,4,18,2006.04,5320.0
219,(선)깐굴,남해,6000,9.0,2006,4,18,2006.04,2000.0
220,(선)깐굴,삼천포,9500,167.2,2006,4,19,2006.04,5000.0
221,(선)깐굴,통영,11900,600.6,2006,4,19,2006.04,5409.09
222,(선)깐굴,남해,8000,14.7,2006,4,19,2006.04,3809.52
223,(선)깐굴,남해,10000,209.0,2006,4,19,2006.04,2631.58
224,(선)깐굴,통영,11200,80.0,2006,4,19,2006.04,7000.0
225,(선)깐굴,삼천포,9200,120.0,2006,4,19,2006.04,4600.0
226,(선)깐굴,통영,9300,75.0,2006,4,19,2006.04,6200.0
227,(선)깐굴,통영,7700,348.0,2006,4,19,2006.04,6416.67
228,(선)깐굴,남해,8000,156.0,2006,4,19,2006.04,4000.0
229,(선)깐굴,통영,10500,243.1,2006,4,19,2006.04,6176.47
230,(선)깐굴,통영,8200,33.0,2006,4,19,2006.04,7454.55
231,(선)깐굴,통영,8400,420.0,2006,4,19,2006.04,6000.0
232,(선)깐굴,삼천포,8000,102.6,2006,4,19,2006.04,4444.44
233,(선)깐굴,남해,8000,47.6,2006,4,19,2006.04,2857.14
234,(선)깐굴,통영,15000,72.0,2006,4,19,2006.04,6250.0
235,(선)깐굴,통영,13800,241.5,2006,4,21,2006.04,6571.43
236,(선)깐굴,통영,13700,400.8,2006,4,21,2006.04,5708.33
237,(선)깐굴,삼천포,8800,280.8,2006,4,21,2006.04,4888.89
238,(선)깐굴,남해,9000,81.7,2006,4,21,2006.04,4736.84
239,(선)깐굴,통영,7700,210.0,2006,4,21,2006.04,5500.0
240,(선)깐굴,통영,7100,383.5,2006,4,21,2006.04,5461.54
241,(선)깐굴,통영,7200,518.1,2006,4,21,2006.04,6545.45
242,(선)깐굴,통영,5000,30.6,2006,4,21,2006.04,2941.18
243,(선)깐굴,남해,10000,116.0,2006,4,21,2006.04,5000.0
244,(선)깐굴,통영,7100,103.2,2006,4,21,2006.04,5916.67
245,(선)깐굴,통영,10200,90.0,2006,4,21,2006.04,6800.0
246,(선)깐굴,삼천포,8500,234.0,2006,4,21,2006.04,4250.0
247,(선)깐굴,통영,9000,75.60000000000002,2006,4,21,2006.04,5000.0
248,(선)깐굴,남해,8000,259.0,2006,4,21,2006.04,2162.16
249,(선)깐굴,통영,10500,220.00000000000003,2006,4,21,2006.04,4772.73
250,(선)깐굴,삼천포,8000,85.5,2006,4,21,2006.04,4210.53
251,(선)깐굴,통영,13700,110.0,2006,4,21,2006.04,5480.0
252,(선)깐굴,남해,6000,3.0,2006,4,21,2006.04,2000.0
253,(선)깐굴,통영,15000,231.0,2006,4,22,2006.04,7142.86
254,(선)깐굴,삼천포,8700,136.0,2006,4,22,2006.04,5117.65
255,(선)깐굴,통영,7600,245.0,2006,4,22,2006.04,5428.57
256,(선)깐굴,통영,7400,92.3,2006,4,22,2006.04,5692.31
257,(선)깐굴,통영,7200,381.70000000000016,2006,4,22,2006.04,6545.45
258,(선)깐굴,통영,7100,85.0,2006,4,22,2006.04,4176.47
259,(선)깐굴,남해,8000,304.0,2006,4,22,2006.04,2000.0
260,(선)깐굴,통영,9500,207.0,2006,4,22,2006.04,6333.33
261,(선)깐굴,남해,7500,12.5,2006,4,22,2006.04,3000.0
262,(선)깐굴,삼천포,10700,70.0,2006,4,22,2006.04,5350.0
263,(선)깐굴,남해,8700,120.7,2006,4,22,2006.04,5117.65
264,(선)깐굴,통영,7000,54.0,2006,4,22,2006.04,7777.78
265,(선)깐굴,남해,10000,2.1,2006,4,22,2006.04,4761.9
266,(선)깐굴,통영,14100,549.6999999999998,2006,4,22,2006.04,6130.43
267,(선)깐굴,통영,10600,585.2,2006,4,22,2006.04,4818.18
268,(선)깐굴,삼천포,9700,328.7,2006,4,22,2006.04,5105.26
269,(선)깐굴,통영,8000,40.0,2006,4,22,2006.04,3200.0
270,(선)깐굴,통영,13600,151.2,2006,4,22,2006.04,5666.67
271,(선)깐굴,통영,13900,312.9000000000001,2006,4,24,2006.04,6619.05
272,(선)깐굴,통영,14000,122.4,2006,4,24,2006.04,5833.33
273,(선)깐굴,삼천포,11000,111.6,2006,4,24,2006.04,6111.11
274,(선)깐굴,삼천포,9000,95.2,2006,4,24,2006.04,5294.12
275,(선)깐굴,통영,10100,420.0,2006,4,24,2006.04,7214.29
276,(선)깐굴,남해,12000,18.0,2006,4,24,2006.04,6666.67
277,(선)깐굴,통영,7700,121.0,2006,4,24,2006.04,7000.0
278,(선)깐굴,통영,8000,226.8,2006,4,24,2006.04,6666.67
279,(선)깐굴,통영,9700,469.5,2006,4,24,2006.04,6466.67
280,(선)깐굴,삼천포,11000,122.0,2006,4,24,2006.04,5500.0
281,(선)깐굴,통영,9000,144.0,2006,4,24,2006.04,5625.0
282,(선)깐굴,통영,8200,470.0,2006,4,24,2006.04,8200.0
283,(선)깐굴,남해,11500,71.39999999999998,2006,4,24,2006.04,6764.71
284,(선)깐굴,남해,9000,186.2,2006,4,24,2006.04,2368.42
285,(선)깐굴,통영,16000,69.0,2006,4,24,2006.04,6956.52
286,(선)깐굴,통영,10300,770.0000000000001,2006,4,24,2006.04,4681.82
287,(선)깐굴,삼천포,10800,77.89999999999998,2006,4,24,2006.04,5684.21
288,(선)깐굴,남해,13000,2.4,2006,4,24,2006.04,5416.67
289,(선)깐굴,통영,8000,888.3000000000003,2006,4,25,2006.04,3809.52
290,(선)깐굴,통영,14000,100.8,2006,4,25,2006.04,5833.33
291,(선)깐굴,삼천포,11300,36.0,2006,4,25,2006.04,6277.78
292,(선)깐굴,삼천포,11400,90.1,2006,4,25,2006.04,6705.88
293,(선)깐굴,남해,9900,133.0,2006,4,25,2006.04,2828.57
294,(선)깐굴,통영,8000,280.0,2006,4,25,2006.04,5714.29
295,(선)깐굴,남해,10800,140.4,2006,4,25,2006.04,6000.0
296,(선)깐굴,통영,7700,55.00000000000001,2006,4,25,2006.04,7000.0
297,(선)깐굴,통영,6500,45.9,2006,4,25,2006.04,3823.53
298,(선)깐굴,통영,5800,334.8,2006,4,25,2006.04,4833.33
299,(선)깐굴,통영,8800,129.0,2006,4,25,2006.04,5866.67
300,(선)깐굴,삼천포,11000,20.0,2006,4,25,2006.04,5500.0
301,(선)깐굴,통영,7900,375.0,2006,4,25,2006.04,7900.0
302,(선)깐굴,남해,12500,51.2,2006,4,25,2006.04,7812.5
303,(선)깐굴,삼천포,11700,117.8,2006,4,25,2006.04,6157.89
304,(선)깐굴,통영,14000,102.0,2006,4,25,2006.04,7000.0
305,(선)깐굴,통영,14500,315.0,2006,4,26,2006.04,6904.76
306,(선)깐굴,삼천포,11600,239.4,2006,4,26,2006.04,6444.44
307,(선)깐굴,통영,8500,44.8,2006,4,26,2006.04,6071.43
308,(선)깐굴,남해,12500,104.4,2006,4,26,2006.04,6944.44
309,(선)깐굴,통영,6300,118.8,2006,4,26,2006.04,5727.27
310,(선)깐굴,통영,8100,164.9,2006,4,26,2006.04,4764.71
311,(선)깐굴,삼천포,11000,8.399999999999999,2006,4,26,2006.04,7857.14
312,(선)깐굴,통영,8000,169.1,2006,4,26,2006.04,4210.53
313,(선)깐굴,남해,11000,60.0,2006,4,26,2006.04,5500.0
314,(선)깐굴,통영,7900,24.0,2006,4,26,2006.04,6583.33
315,(선)깐굴,통영,6000,120.0,2006,4,26,2006.04,4000.0
316,(선)깐굴,남해,6000,5.0,2006,4,26,2006.04,2400.0
317,(선)깐굴,삼천포,12000,52.0,2006,4,26,2006.04,6000.0
318,(선)깐굴,통영,7700,318.0,2006,4,26,2006.04,7700.0
319,(선)깐굴,남해,12500,98.6,2006,4,26,2006.04,7352.94
320,(선)깐굴,통영,8800,963.6,2006,4,26,2006.04,4000.0
321,(선)깐굴,삼천포,11500,57.0,2006,4,26,2006.04,6052.63
322,(선)깐굴,통영,13100,261.6,2006,4,26,2006.04,5458.33
323,(선)깐굴,통영,11300,189.0,2006,4,27,2006.04,5380.95
324,(선)깐굴,삼천포,11900,144.0,2006,4,27,2006.04,6611.11
325,(선)깐굴,삼천포,8000,16.5,2006,4,27,2006.04,5333.33
326,(선)깐굴,남해,11700,39.9,2006,4,27,2006.04,6157.89
327,(선)깐굴,남해,10000,5.0,2006,4,27,2006.04,2000.0
328,(선)깐굴,통영,6000,70.0,2006,4,27,2006.04,4285.71
329,(선)깐굴,남해,11000,208.8,2006,4,27,2006.04,6111.11
330,(선)깐굴,통영,8300,65.0,2006,4,27,2006.04,6384.62
331,(선)깐굴,통영,4500,20.4,2006,4,27,2006.04,2647.06
332,(선)깐굴,삼천포,11500,14.0,2006,4,27,2006.04,8214.29
333,(선)깐굴,통영,2800,105.6,2006,4,27,2006.04,2333.33
